uf,nome,id_ente,year,eleicao_estadual,pre_eleicao,pos_eleicao,dcl,rcl_rgf,resultado_primario,receitas_primarias,despesas_primarias,encargos_divida,dcl_sobre_rcl,primario_sobre_rcl,encargos_sobre_rcl,pib_nominal_mil,pib_real_mil_2010,pib_real_mil_lag1,crescimento_pib_pct,ln_pib_real,ipca_aa,deflator_2010,deflator_medio_2010
RR,Roraima,14,2024,0,0,0,776399.8262100001,7769605.34362,224862.16324,8398145.478810001,7935925.70492,117754.18733,0.09992783312315079,0.02894125934268273,0.015155748860100555,NA,NA,NA,NA,NA,4.831295791859613,222.17590777895543,217.53149085344668
RS,Rio Grande do Sul,43,2002,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,98847211,166643138.30583006,NA,NA,18.93136518758789,12.530337079575029,63.824270157497885,59.31670034837661
RS,Rio Grande do Sul,43,2003,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,119325399,175362913.20987186,166643138.30583006,5.232603629943,18.982368174324712,9.299949329235147,69.75989494189933,68.04483160997277
RS,Rio Grande do Sul,43,2004,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,131192206,180868874.7065251,175362913.20987186,3.1397525257029546,19.0132828775548,7.600644138060453,75.06209630751793,72.534429272516
RS,Rio Grande do Sul,43,2005,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,136362769,175911838.19160923,180868874.7065251,-2.7406796901672914,18.98549350813455,5.68973334585865,79.3329294312273,77.51767612789594
RS,Rio Grande do Sul,43,2006,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,147622599,182789929.4387694,175911838.19160923,3.909964967604007,19.02384812486924,3.141774968304434,81.82539154972024,80.7607943464141
RS,Rio Grande do Sul,43,2007,0,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,168009752,200724702.88498822,182789929.4387694,9.811685742909916,19.117444889824625,4.457330433237816,85.47261962938191,83.70158210983462
RS,Rio Grande do Sul,43,2008,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,190229822,215059743.3615591,200724702.88498822,7.141642394052816,19.186426423591797,5.902313417525495,90.51748152607746,88.45440761090515
RS,Rio Grande do Sul,43,2009,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,204344940,220251146.5787012,215059743.3615591,2.4139353725603163,19.210279028572693,4.312028329689999,94.42062097280385,92.77815038614678
RS,Rio Grande do Sul,43,2010,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,241249164,247553638.9039051,220251146.5787012,12.396072733018904,19.32713783933608,5.909068347266233,100,97.4532893429402
